Id,Y
16384,0.9658428
16385,0.92689884
16386,0.9997831
16387,0.99981266
16388,0.9974529
16389,0.9998246
16390,0.985552
16391,0.96518797
16392,0.9996101
16393,0.9997205
16394,0.9971757
16395,0.99402195
16396,0.98622173
16397,0.9970842
16398,0.9904979
16399,0.99936277
16400,0.99716395
16401,0.99940014
16402,0.99760395
16403,0.99776876
16404,0.96029544
16405,0.99087584
16406,0.990886
16407,0.9593013
16408,0.99658173
16409,0.9987129
16410,0.9944507
16411,0.9574864
16412,0.9975921
16413,0.98609596
16414,0.99913615
16415,0.9986443
16416,0.9989009
16417,0.998302
16418,0.9995764
16419,0.9964934
16420,0.99954766
16421,0.958423
16422,0.9988636
16423,0.99901843
16424,0.9997956
16425,0.99744993
16426,0.99888736
16427,0.99979335
16428,0.9969812
16429,0.99239576
16430,0.98904955
16431,0.9986461
16432,0.99972075
16433,0.999648
16434,0.99931407
16435,0.9975604
16436,0.9997737
16437,0.99541324
16438,0.9926069
16439,0.9996805
16440,0.97940046
16441,0.99882036
16442,0.9997967
16443,0.9995827
16444,0.14124024
16445,0.99722385
16446,0.99653447
16447,0.9955531
16448,0.99851865
16449,0.9835497
16450,0.98062414
16451,0.9983014
16452,0.9966665
16453,0.99133974
16454,0.9964226
16455,0.9924797
16456,0.9984401
16457,0.9991223
16458,0.9942899
16459,0.998689
16460,0.99981934
16461,0.9998505
16462,0.9867468
16463,0.9994717
16464,0.99977726
16465,0.99933547
16466,0.99005836
16467,0.99034077
16468,0.98267716
16469,0.97265595
16470,0.9998265
16471,0.99883443
16472,0.99906427
16473,0.9978016
16474,0.99845064
16475,0.99931467
16476,0.99295723
16477,0.9982804
16478,0.9903653
16479,0.99927837
16480,0.9990821
16481,0.9780586
16482,0.99982965
16483,0.9739482
16484,0.997707
16485,0.9877771
16486,0.9996624
16487,0.9915906
16488,0.19433686
16489,0.9934662
16490,0.9941738
16491,0.9997831
16492,0.9950113
16493,0.9995709
16494,0.9908742
16495,0.9955166
16496,0.9991697
16497,0.99689
16498,0.9997764
16499,0.99959666
16500,0.96233094
16501,0.96169394
16502,0.9948137
16503,0.990837
16504,0.9954652
16505,0.99989116
16506,0.9916625
16507,0.9917522
16508,0.959828
16509,0.9723704
16510,0.6846454
16511,0.97273356
16512,0.99922967
16513,0.99932647
16514,0.9843667
16515,0.9515774
16516,0.9966935
16517,0.81677306
16518,0.9878127
16519,0.99756527
16520,0.96933955
16521,0.9383348
16522,0.9780222
16523,0.99351984
16524,0.99921083
