Id,Y
16384,0.9735607
16385,0.9610639
16386,0.9998981
16387,0.99988246
16388,0.9980889
16389,0.9999045
16390,0.9891839
16391,0.981389
16392,0.9998708
16393,0.9998049
16394,0.9988261
16395,0.99561346
16396,0.99399143
16397,0.99747807
16398,0.99035585
16399,0.9996706
16400,0.9982943
16401,0.99970335
16402,0.9979569
16403,0.9986657
16404,0.96313196
16405,0.9944395
16406,0.9928878
16407,0.963473
16408,0.9983773
16409,0.99923253
16410,0.9966755
16411,0.95185083
16412,0.99806625
16413,0.98797405
16414,0.99912065
16415,0.9988368
16416,0.99897575
16417,0.99863964
16418,0.9995733
16419,0.99869764
16420,0.9997546
16421,0.9493869
16422,0.9991273
16423,0.99893886
16424,0.99988985
16425,0.9987295
16426,0.99951804
16427,0.99990594
16428,0.9971083
16429,0.99564016
16430,0.9929698
16431,0.9990761
16432,0.9998221
16433,0.99982077
16434,0.999358
16435,0.9982621
16436,0.99988115
16437,0.99651945
16438,0.9937224
16439,0.9998709
16440,0.9848599
16441,0.9990767
16442,0.99989367
16443,0.99970824
16444,0.07469791
16445,0.9983261
16446,0.9978776
16447,0.99628544
16448,0.9989802
16449,0.9854854
16450,0.9840141
16451,0.9984888
16452,0.99672276
16453,0.9898372
16454,0.99824095
16455,0.9951806
16456,0.9991129
16457,0.9994684
16458,0.99611276
16459,0.9991273
16460,0.9998934
16461,0.999912
16462,0.99432266
16463,0.9995797
16464,0.9998692
16465,0.9996501
16466,0.994503
16467,0.99506
16468,0.98846483
16469,0.9832351
16470,0.9998772
16471,0.9991579
16472,0.9993337
16473,0.9987902
16474,0.9984402
16475,0.99943405
16476,0.9946355
16477,0.99902534
16478,0.99362373
16479,0.99929214
16480,0.99863213
16481,0.9914826
16482,0.99990845
16483,0.9660859
16484,0.9989355
16485,0.99238646
16486,0.99984884
16487,0.99385273
16488,0.13683613
16489,0.9941209
16490,0.99603504
16491,0.99989235
16492,0.9942526
16493,0.9997745
16494,0.9933709
16495,0.9974765
16496,0.9995413
16497,0.9977558
16498,0.99987924
16499,0.9997795
16500,0.9686835
16501,0.9716243
16502,0.9961236
16503,0.9907759
16504,0.99571687
16505,0.99994874
16506,0.99518496
16507,0.9892434
16508,0.98102796
16509,0.9785816
16510,0.6288249
16511,0.98135686
16512,0.9996131
16513,0.9994649
16514,0.98704785
16515,0.9598312
16516,0.99694926
16517,0.8126339
16518,0.9934662
16519,0.9982211
16520,0.97932065
16521,0.97358626
16522,0.98111814
16523,0.99461514
16524,0.99939585
16525,0.979485
16526,0.9995016
16527,0.998899
16528,0.9985141
16529,0.9995677
16530,0.9896248
16531,0.5131434
16532,0.99989724
16533,0.9913407
16534,0.99992526
16535,0.99814224
16536,0.99481094
16537,0.992151
16538,0.9977653
16539,0.9913517
16540,0.9960223
16541,0.99506724
16542,0.99937433
16543,0.98769546
16544,0.99811137
16545,0.99947566
16546,0.56296206
16547,0.88390803
16548,0.99653316
16549,0.99883705
16550,0.9918053
16551,0.9964289
16552,0.9981882
16553,0.99786866
16554,0.9802886
16555,0.9977424
16556,0.9929726
16557,0.99505347
16558,0.99869055
16559,0.99849546
16560,0.9814276
16561,0.99768174
16562,0.8568017
16563,0.99720216
16564,0.9790046
16565,0.992991
16566,0.9989354
16567,0.9800239
16568,0.99786144
16569,0.99754286
16570,0.99031645
16571,0.99982965
16572,0.9913658
16573,0.9846475
16574,0.997635
16575,0.99848205
16576,0.9992884
16577,0.9973252
16578,0.9996325
16579,0.9968215
16580,0.973105
16581,0.11921771
16582,0.99287593
16583,0.999137
16584,0.9982504
16585,0.99962807
16586,0.9999037
